ID	Household_Size	Number_of_Vehicles	Income	Proximity_to_Public_Transportation	Presence_of_Children	Trips
129	3	1	83.54	1.6	1	3
130	2	1	66.673	2	0	2
131	4	2	73.416	2.7	1	3
132	2	1	77.039	0.2	0	3
133	3	1	80.372	0.4	1	3
134	2	3	84.545	0.5	0	3
135	4	0	68.883	0.6	1	3
136	2	1	74.22	0.8	0	3
137	3	1	77.698	0.9	1	4
138	2	0	81.087	1.1	1	3
139	4	1	85.735	1.3	1	4
140	2	2	70.37	1.6	1	3
141	3	1	74.971	2	1	3
142	3	1	78.354	2.8	1	3
143	5	2	81.842	0.2	1	5
144	1	0	87.258	0.4	0	3
145	3	1	71.541	0.5	1	4
146	2	2	75.684	0.6	0	3
147	4	1	79.014	0.8	1	4
148	2	1	82.652	0.9	0	3
149	3	2	89.57	1.1	1	4
150	3	1	62.69	1.3	1	3
151	5	1	72.718	1.6	1	4
152	2	3	76.506	2.1	0	3
153	3	0	79.819	2.9	1	2
154	2	1	83.73	0.2	0	3
155	4	2	67.22	0.4	1	4
156	2	1	73.582	0.5	0	3
157	4	1	77.172	0.6	1	4
158	3	2	80.512	0.8	1	3
159	6	1	84.765	0.9	1	4
160	1	1	69.218	1.1	0	3
161	3	3	74.374	1.4	1	3
162	2	0	77.83	1.7	0	2
163	4	1	81.235	2.1	1	4
164	2	1	86.006	3	0	2
165	3	0	70.623	0.2	1	3
166	3	1	75.116	0.4	1	3
167	5	2	78.486	0.5	1	5
168	2	1	81.999	0.7	0	3
169	3	1	87.63	0.8	1	3
170	2	2	71.751	1	0	3
171	4	0	75.823	1.1	1	3
172	2	1	79.147	1.4	0	3
173	3	2	82.822	1.7	1	3
174	3	0	90.259	2.2	1	2
175	5	1	64.23	3.1	1	3
176	1	2	72.898	0.3	0	3
177	3	1	76.64	0.4	1	4
178	2	1	79.956	0.5	1	3
179	4	2	83.925	0.7	1	4
180	2	0	67.701	0.8	0	2
181	3	1	73.745	1	1	3
182	3	2	77.304	1.2	1	4
183	5	1	80.654	1.4	1	4
184	2	1	84.993	1.7	0	2
185	3	2	69.531	2.2	1	3
186	2	1	74.526	3.3	0	2
187	4	1	77.961	0.3	1	4
188	2	3	81.384	0.4	0	3
189	4	0	86.291	0.5	1	4
190	3	1	70.866	0.7	1	3
191	7	1	75.26	0.8	1	5
192	1	0	78.617	1	0	2
193	3	1	82.158	1.2	1	4
194	2	2	88.036	1.4	0	3
195	4	1	71.955	1.8	1	3
196	2	1	75.961	2.3	0	3
197	3	2	79.28	3.4	1	2
198	2	0	82.996	0.3	0	3
199	5	1	91.119	0.4	1	5
200	2	2	65.252	0.6	1	3
201	3	1	73.074	0.7	1	4
202	2	1	76.773	0.8	0	3
203	4	2	80.094	1	1	4
204	2	1	84.126	1.2	0	3
205	3	1	68.131	1.5	1	3
206	3	3	73.906	1.8	1	3
207	5	0	77.436	2.4	1	3
208	1	1	80.797	3.6	0	1
209	3	2	85.23	0.3	1	4
210	2	1	69.825	0.4	0	2
211	4	1	74.676	0.6	1	4
212	2	2	78.092	0.7	0	3
213	3	1	81.534	0.9	1	3
214	3	1	86.592	1	1	4
215	5	3	71.099	1.2	1	4
216	2	0	75.403	1.5	0	2
217	3	1	78.749	1.8	1	2
218	2	2	82.32	2.4	0	2
219	4	0	88.485	3.9	1	2
220	2	1	72.153	0.3	0	3
221	4	2	76.099	0.5	1	4
222	3	1	79.414	0.6	1	3
223	6	1	83.173	0.7	1	5
224	1	2	92.294	0.9	0	3
225	3	0	66.033	1	1	3
226	2	1	73.246	1.2	0	2
227	4	2	76.907	1.5	1	3
228	2	1	80.232	1.9	0	2
229	3	1	84.332	2.5	1	3
230	3	2	68.523	4.2	1	2
231	5	1	74.064	0.3	1	5
232	2	1	77.567	0.5	0	3
233	3	3	80.941	0.6	1	4
234	2	0	85.477	0.7	0	2
235	4	1	70.104	0.9	1	4
236	2	2	74.825	1.1	0	3
237	4	1	78.223	1.3	1	4
238	3	1	81.687	1.5	1	3
239	6	2	86.913	1.9	1	5
240	2	1	71.324	2.6	0	2
241	3	1	75.544	4.5	1	2
242	2	3	78.881	0.1	0	3
243	4	0	82.484	0.3	1	4
244	2	1	88.99	0.5	1	3
245	3	1	72.346	0.6	1	3
246	3	0	76.235	0.7	1	3
247	5	1	79.548	0.9	1	4
248	2	2	83.355	1.1	0	3
249	3	1	94.276	1.3	1	4
250	2	1	60.173	1.6	0	2
251	4	2	72.572	2	1	4
252	2	0	76.398	2.7	0	1
253	4	1	79.711	0.2	1	4
254	3	2	83.578	0.4	1	4
255	7	0	66.789	0.5	1	4
256	1	1	73.449	0.6	0	2
257	3	2	77.066	0.8	1	3
258	2	1	80.4	0.9	0	3
259	4	1	84.589	1.1	1	4
260	2	2	68.952	1.3	0	3
261	3	0	74.251	1.6	1	3
262	2	1	77.725	2	0	2
263	4	2	81.117	2.8	1	3
264	2	1	85.788	0.2	0	3
265	3	1	70.421	0.4	1	3
266	2	2	75	0.5	0	3
267	4	1	78.38	0.6	1	4
268	2	1	81.873	0.8	0	3
269	3	3	87.33	0.9	1	4
270	3	0	71.583	1.1	1	3
271	5	1	75.712	1.3	1	4
272	1	1	79.04	1.6	0	2
273	3	0	82.686	2.1	1	3
274	2	1	89.698	2.9	0	2
275	4	2	63.07	0.2	1	4
276	2	1	72.755	0.4	0	2
277	3	1	76.532	0.5	1	3
278	3	2	79.847	0.6	1	3
279	5	0	83.769	0.8	1	4
280	2	1	67.321	0.9	0	3
281	3	2	73.615	1.1	1	4
282	2	1	77.198	1.4	1	3
283	4	1	80.541	1.7	1	4
284	2	2	84.81	2.1	0	3
285	4	1	69.282	3	1	3
286	3	1	74.405	0.2	1	4
287	6	3	77.856	0.4	1	5
288	1	0	81.264	0.5	0	2
289	3	1	86.061	0.7	1	4
290	2	2	70.672	0.8	0	3
291	4	1	75.145	1	1	4
292	2	1	78.512	1.1	0	3
293	3	2	82.031	1.4	1	4
294	3	1	87.708	1.7	1	4
295	5	1	71.792	2.2	1	4
296	2	3	75.851	3.1	0	2
297	3	0	79.173	0.3	1	3
298	2	1	82.857	0.4	1	3
299	4	1	90.415	0.5	1	4
300	2	0	64.462	0.7	1	2
301	3	1	72.933	0.8	1	3
302	3	2	76.667	1	1	3
303	5	1	79.984	1.2	1	4
304	1	1	83.965	1.4	0	2
305	3	2	67.79	1.7	1	3
306	2	0	73.777	2.2	0	2
307	4	1	77.33	3.3	1	3
308	2	2	80.683	0.3	1	3
309	3	1	85.04	0.4	1	4
310	3	1	69.591	0.6	1	4
311	5	2	74.556	0.7	1	4
312	2	1	77.987	0.8	0	2
313	3	1	81.414	1	1	3
314	2	3	86.35	1.2	0	3
315	4	0	70.913	1.4	1	3
316	2	1	75.289	1.8	0	2
317	4	2	78.643	2.3	1	3
318	3	1	82.19	3.5	1	2
319	6	1	88.122	0.3	1	5
320	1	2	71.995	0.4	0	3
321	3	1	75.989	0.6	1	3
322	2	1	79.307	0.7	0	3
323	4	3	83.031	0.8	1	4
324	2	0	91.322	1	0	3
325	3	1	65.423	1.2	1	3
326	2	1	73.109	1.5	0	2
327	4	0	76.8	1.8	1	3
328	2	1	80.121	2.4	0	3
329	3	2	84.167	3.7	1	2
330	2	1	68.212	0.3	0	3
331	4	1	73.938	0.4	1	4
332	2	2	77.462	0.6	0	3
333	3	0	80.826	0.7	1	3
334	3	1	85.279	0.9	1	3
335	5	2	69.882	1	1	4
336	1	0	74.706	1.2	0	2
337	3	1	78.118	1.5	1	3
338	2	2	81.565	1.8	0	3
339	4	1	86.655	2.4	1	3
340	2	1	71.144	3.9	1	1
341	3	2	75.431	0.3	1	3
342	3	0	78.775	0.5	1	3
343	5	1	82.353	0.6	1	5
344	2	2	88.581	0.7	0	3
345	3	1	72.192	0.9	1	3
346	2	1	76.126	1	0	3
347	4	2	79.441	1.2	1	4
348	2	1	83.209	1.5	0	2
349	4	1	92.595	1.9	1	3
350	3	3	66.17	2.5	1	3
351	6	0	73.28	4.2	1	3
352	1	1	76.933	0.3	0	3
353	3	1	80.26	0.5	1	3
354	2	0	84.374	0.6	1	3
355	4	1	68.597	0.7	1	3
356	2	2	74.096	0.9	1	3
357	3	1	77.593	1.1	1	3
358	3	1	80.97	1.3	1	3
359	5	2	85.528	1.5	1	4
360	2	0	70.158	1.9	0	2
361	3	1	74.854	2.6	1	3
362	2	2	78.249	4.6	0	1
363	4	1	81.718	0.1	1	4
364	2	1	86.98	0.3	0	3
365	3	2	71.368	0.5	1	3
366	3	1	75.572	0.6	1	3
367	6	1	78.908	0.7	1	5
368	2	3	82.518	0.9	0	3
369	3	0	89.099	1.1	1	3
370	2	1	72.384	1.3	1	3
371	4	2	76.262	1.6	1	4
372	2	1	79.575	2	0	2
373	3	1	83.392	2.7	1	3
374	3	2	94.934	0.2	1	4
375	5	1	61.066	0.4	1	4
376	2	1	72.608	0.5	0	3
377	3	3	76.425	0.6	1	4
378	2	0	79.738	0.8	0	2
379	4	1	83.616	0.9	1	4
380	2	1	66.901	1.1	0	2
381	4	0	73.482	1.3	1	3
382	3	1	77.092	1.6	1	3
383	7	2	80.428	2	1	5
384	1	1	84.632	2.8	0	2
385	3	1	69.02	0.2	1	3
386	2	2	74.282	0.4	0	3
387	4	0	77.751	0.5	1	4
388	2	1	81.146	0.6	0	3
389	3	2	85.842	0.8	1	4
390	2	1	70.472	0.9	0	3
391	4	1	75.03	1.1	1	3
392	2	2	78.407	1.3	0	3
393	3	1	81.904	1.6	1	4
394	2	1	87.403	2.1	0	2
395	4	3	71.626	2.9	1	3
396	2	0	75.74	0.2	0	3
397	3	1	79.067	0.4	1	4
398	3	2	82.72	0.5	1	4
399	5	1	89.83	0.6	1	5
400	1	1	63.405	0.8	0	2
401	3	2	72.791	0.9	1	3
402	2	1	76.559	1.1	0	3
403	4	1	79.874	1.4	1	4
404	2	3	83.808	1.7	0	4
405	3	0	67.419	2.1	1	2
406	3	1	73.647	3	1	2
407	5	1	77.225	0.2	1	4
408	2	0	80.569	0.4	0	3
409	3	1	84.856	0.5	1	4
410	2	2	69.345	0.7	0	3
411	4	1	74.435	0.8	1	4
412	2	1	77.882	1	0	3
413	4	2	81.294	1.1	1	4
414	3	0	86.118	1.4	1	3
415	6	1	70.721	1.7	1	4
416	1	2	75.174	2.2	0	2
417	3	1	78.538	3.2	1	2
418	2	1	82.062	0.3	0	3
419	4	2	87.788	0.4	1	4
420	2	1	71.833	0.5	0	3
421	3	1	75.879	0.7	1	3
422	3	2	79.2	0.8	1	4
423	5	0	82.891	1	1	4
424	2	1	90.577	1.2	0	3
425	3	2	64.678	1.4	1	3
426	2	1	72.969	1.7	0	2
427	4	1	76.693	2.2	1	3
428	2	2	80.011	3.3	0	2
429	3	1	84.005	0.3	1	5
430	3	1	67.878	0.4	1	4
431	6	3	73.81	0.6	1	5
432	1	0	77.357	0.7	0	2
433	3	1	80.711	0.8	1	4
434	2	1	85.087	1	0	3
435	4	0	69.65	1.2	1	3
436	2	1	74.586	1.4	0	3
437	3	2	78.013	1.8	1	3
438	3	1	81.444	2.3	1	3
439	5	1	86.409	3.5	1	3
440	2	2	70.96	0.3	0	3
441	3	0	75.317	0.4	1	4
442	2	1	78.67	0.6	0	3
443	4	2	82.223	0.7	1	4
444	2	1	88.21	0.8	0	3
445	4	1	72.035	1	1	4
446	3	2	76.016	1.2	1	3
447	7	1	79.333	1.5	1	5
448	1	1	83.067	1.8	0	2
449	3	3	91.538	2.4	1	3
450	2	0	65.585	3.7	0	1
451	4	1	73.143	0.3	1	4
452	2	2	76.827	0.4	0	3
453	3	1	80.149	0.6	1	4
454	3	1	84.208	0.7	1	4
455	5	2	68.292	0.9	1	4
456	2	1	73.969	1	0	3
457	3	1	77.488	1.2	1	3
458	2	3	80.855	1.5	1	3
459	4	0	85.328	1.9	1	4
460	2	1	69.939	2.4	0	2
461	3	2	74.736	3.9	1	2
462	3	0	78.144	0.3	1	3
463	5	1	81.595	0.5	1	4
464	1	2	86.718	0.6	0	2
465	3	1	71.19	0.7	1	3
466	2	1	75.459	0.9	0	3
467	4	2	78.802	1	1	4
468	2	0	82.385	1.2	0	2
469	3	1	88.679	1.5	1	3
470	3	2	72.231	1.9	1	4
471	5	1	76.153	2.5	1	3
472	2	1	79.468	4.2	1	1
473	3	2	83.245	0.3	1	4
474	2	1	92.93	0.5	0	3
475	4	1	66.302	0.6	1	4
476	2	3	73.314	0.7	0	3
477	4	0	76.96	0.9	1	3
478	3	1	80.288	1.1	1	3
479	6	2	84.417	1.3	1	5
480	1	1	68.67	1.5	0	2
481	3	1	74.127	1.9	1	3
482	2	2	77.62	2.6	0	3
483	4	1	81	4.6	1	2
484	2	1	85.579	0.1	1	3
485	3	3	70.212	0.3	1	4
486	3	0	74.883	0.5	1	3
487	5	1	78.275	0.6	1	4
488	2	1	81.749	0.7	0	3
489	3	0	87.048	0.9	1	4
490	2	1	71.411	1.1	0	3
491	4	2	75.6	1.3	1	4
492	2	1	78.934	1.6	0	2
493	4	1	82.551	2	1	4
494	3	2	89.211	2.7	1	3
495	6	0	72.422	0.2	1	4
496	2	1	76.289	0.4	0	3
497	3	2	79.602	0.5	1	3
498	2	0	83.428	0.6	0	2
499	4	1	95.827	0.8	1	4
500	2	2	61.724	0.9	0	3
501	3	1	72.645	1.1	1	3
502	3	1	76.452	1.3	1	3
503	5	2	79.765	1.6	1	5
504	2	0	83.654	2	0	2
505	3	1	67.01	2.8	1	2
506	2	2	73.516	0.2	0	3
507	4	1	77.119	0.4	1	4
508	2	1	80.456	0.5	0	3
509	4	2	84.676	0.6	1	4
510	3	1	69.087	0.8	1	4
511	8	1	74.313	0.9	1	5
512	1	3	77.777	1.1	0	2
513	3	0	81.175	1.3	1	3
514	2	1	85.896	1.6	0	3
515	4	1	70.523	2.1	1	3
516	2	0	75.059	2.9	1	1
517	3	1	78.433	0.2	1	4
518	2	2	81.936	0.4	0	3
519	4	1	87.477	0.5	1	5
520	2	1	71.668	0.6	0	3
521	3	2	75.768	0.8	1	3
522	2	0	79.093	0.9	0	2
523	4	1	82.754	1.1	1	4
524	2	2	89.967	1.4	0	3
525	3	1	63.706	1.7	1	3
526	3	1	72.827	2.1	1	3
527	5	2	76.586	3	1	3
528	1	1	79.901	0.2	0	2
529	3	1	83.847	0.4	1	4
530	2	3	67.515	0.5	0	3
531	4	0	73.68	0.7	1	3
532	2	1	77.251	0.8	0	3
533	3	2	80.597	1	1	3
534	3	1	84.901	1.2	1	3
535	5	1	69.408	1.4	1	4
536	2	2	74.466	1.7	0	3
537	3	1	77.908	2.2	1	3
538	2	1	81.324	3.2	0	2
539	4	3	86.175	0.3	1	5
540	2	0	70.77	0.4	0	2
541	4	1	75.203	0.5	1	4
542	3	1	78.564	0.7	1	3
543	6	0	82.094	0.8	1	4
544	1	1	87.869	1	0	3
545	3	2	71.874	1.2	1	3
546	2	1	75.906	1.4	0	2
547	4	1	79.227	1.7	1	4
548	2	2	82.926	2.3	0	3
549	3	0	90.748	3.3	1	2
550	3	1	64.881	0.3	1	4
551	5	2	73.004	0.4	1	5
552	2	1	76.72	0.6	0	3
553	3	1	80.039	0.7	1	4
554	2	2	84.045	0.8	0	3
555	4	1	67.964	1	1	4
556	2	1	73.842	1.2	0	2
557	3	3	77.383	1.4	1	3
558	3	0	80.74	1.8	1	3
559	5	1	85.134	2.3	1	4
560	1	2	69.709	3.5	0	1
561	3	1	74.616	0.3	1	3
562	2	1	78.039	0.4	0	3
563	4	2	81.474	0.6	1	4
564	2	1	86.469	0.7	0	3
565	3	1	71.007	0.8	1	3
566	3	3	75.346	1	1	4
567	5	0	78.696	1.2	1	4
568	2	1	82.255	1.5	0	2
569	3	1	88.299	1.8	1	3
570	2	0	72.075	2.4	0	2
571	4	1	76.044	3.7	1	2
572	2	2	79.36	0.3	0	3
573	4	1	83.102	0.4	1	4
574	3	1	91.77	0.6	1	3
575	6	2	65.741	0.7	1	4
576	1	0	73.178	0.9	0	2
577	3	1	76.853	1	1	3
578	2	2	80.177	1.2	0	3
579	4	0	84.249	1.5	1	3
580	2	1	68.37	1.9	0	2
581	3	2	74.001	2.5	1	3
582	2	1	77.514	4	0	1
583	4	1	80.884	0.3	1	4
584	2	2	85.377	0.5	0	4
585	3	0	69.994	0.6	1	3
586	2	1	74.765	0.7	0	3
587	4	2	78.17	0.9	1	4
588	2	1	81.626	1	1	3
589	3	1	86.782	1.3	1	4
590	3	2	71.235	1.5	1	4
591	5	1	75.488	1.9	1	4
592	1	1	78.828	2.5	0	2
593	3	3	82.418	4.3	1	2
594	2	0	88.78	0.3	0	3
595	4	1	72.27	0.5	1	4
596	2	1	76.181	0.6	1	3
597	3	0	79.494	0.7	1	3
598	3	1	83.282	0.9	1	3
599	5	2	93.31	1.1	1	5
600	2	1	66.43	1.3	0	2
601	3	1	73.348	1.5	1	3
602	2	2	76.986	1.9	0	3
603	4	0	80.316	2.6	1	3
604	2	1	84.459	4.7	0	1
605	4	2	68.742	0.1	1	4
606	3	1	74.158	0.3	1	3
607	6	1	77.646	0.5	1	5
608	1	2	81.029	0.6	0	2
609	3	1	85.63	0.7	1	4
610	2	1	70.265	0.9	0	3
611	4	3	74.913	1.1	1	4
612	2	0	78.302	1.3	0	2
613	3	1	81.78	1.6	1	4
614	3	2	87.117	2	1	3
615	5	1	71.455	2.7	1	4
616	2	1	75.628	0.2	0	3
617	3	2	78.961	0.4	1	4
618	2	1	82.584	0.5	1	3
619	4	1	89.327	0.6	1	4
620	2	3	72.46	0.8	1	3
621	3	0	76.316	0.9	1	3
622	3	1	79.629	1.1	1	3
623	6	2	83.466	1.3	1	4
624	2	0	97.274	1.6	0	2
625	3	1	55.678	2	1	3
626	2	2	72.505	2.8	0	2
627	4	1	76.349	0.2	1	4
628	2	1	79.662	0.4	0	3
629	3	2	83.51	0.5	1	4
630	3	0	66.578	0.6	1	3
631	5	1	73.389	0.8	1	4
632	2	2	77.018	0.9	1	4
633	3	1	80.349	1.1	1	4
634	2	1	84.511	1.3	0	3
635	4	2	68.827	1.6	1	4
636	2	1	74.195	2.1	0	2
637	4	1	77.677	2.9	1	3
638	3	3	81.064	0.2	1	4
639	7	0	85.693	0.4	1	4
640	1	1	70.328	0.5	0	2
641	3	2	74.948	0.6	1	4
642	2	1	78.333	0.8	0	3
643	4	1	81.817	0.9	1	4
644	2	2	87.201	1.1	0	3
645	3	1	71.506	1.4	1	4
646	2	1	75.662	1.7	0	2
647	4	3	78.992	2.1	1	4
648	2	0	82.625	3	0	2
649	3	1	89.471	0.2	1	4
650	2	1	62.343	0.4	0	3
651	4	0	72.689	0.5	1	4
652	2	1	76.484	0.7	0	3
653	3	2	79.798	0.8	1	4
654	3	1	83.7	1	1	3
655	5	1	67.137	1.2	1	4
656	1	2	73.555	1.4	0	2
657	3	0	77.151	1.7	1	3
658	2	1	80.49	2.2	1	3
659	4	2	84.73	3.2	1	3
660	2	1	69.166	0.3	0	3
661	3	1	74.35	0.4	1	3
662	3	2	77.809	0.5	1	4
663	5	1	81.211	0.7	1	4
664	2	1	85.961	0.8	0	3
665	3	2	70.583	1	1	3
666	2	0	75.093	1.2	0	2
667	4	1	78.465	1.4	1	4
668	2	2	81.974	1.7	0	3
669	4	1	87.568	2.3	1	3
670	3	1	71.718	3.3	1	2
671	6	2	75.801	0.3	1	5
672	1	1	79.125	0.4	0	2
673	3	1	82.795	0.6	1	3
674	2	3	90.139	0.7	0	4
675	4	0	64.031	0.8	1	3
676	2	1	72.869	1	0	3
677	3	1	76.618	1.2	1	3
678	3	0	79.934	1.4	1	3
679	5	1	83.894	1.8	1	4
680	2	2	67.627	2.3	0	2
681	3	1	73.719	3.5	1	2
682	2	1	77.283	0.3	0	3
683	4	2	80.631	0.4	1	4
684	2	0	84.956	0.6	0	3
685	3	1	69.482	0.7	1	3
686	3	2	74.502	0.8	1	4
687	5	1	77.94	1	1	4
688	1	1	81.36	1.2	0	2
689	3	2	86.244	1.5	1	3
690	2	1	70.827	1.8	0	2
691	4	1	75.237	2.4	1	3
692	2	3	78.596	3.7	0	2
693	3	0	82.133	0.3	1	3
694	3	1	87.968	0.4	1	4
695	5	2	71.923	0.6	1	5
696	2	1	75.939	0.7	0	2
697	3	1	79.259	0.9	1	4
698	2	2	82.968	1	0	3
699	4	1	90.966	1.2	1	4
700	2	1	65.108	1.5	0	2
701	4	3	73.046	1.9	1	4
702	3	0	76.752	2.5	1	3
703	7	1	80.072	4	1	3
704	1	2	84.093	0.3	0	3
705	3	0	68.065	0.5	1	3
706	2	1	73.88	0.6	0	3
707	4	2	77.414	0.7	1	4
708	2	1	80.774	0.9	0	2
709	3	1	85.192	1	1	4
710	3	2	69.779	1.3	1	4
711	5	0	74.652	1.5	1	3
712	2	1	78.071	1.9	0	3
713	3	2	81.51	2.5	1	3
714	2	1	86.543	4.3	0	1
715	4	1	71.062	0.3	1	4
716	2	2	75.38	0.5	0	3
717	3	1	78.728	0.6	1	3
718	3	1	82.294	0.7	1	3
719	5	3	88.41	0.9	1	5
720	1	0	72.122	1.1	0	2
721	3	1	76.077	1.3	1	3
722	2	2	79.392	1.6	0	3
723	4	1	83.145	1.9	1	3
724	2	1	92.074	2.6	0	2
725	3	2	65.919	4.7	1	1
726	3	1	73.219	0.1	1	3
727	5	1	76.885	0.3	1	5
728	2	3	80.21	0.5	0	3
729	3	0	84.299	0.6	1	3
730	2	1	68.462	0.8	0	3
731	4	1	74.039	0.9	1	4
732	2	0	77.546	1.1	0	2
733	4	1	80.918	1.3	1	4
734	3	2	85.437	1.6	1	4
735	6	1	70.061	2	1	4
736	1	1	74.801	2.7	0	1
737	3	2	78.202	0.2	1	4
738	2	0	81.663	0.4	1	3
739	4	1	86.861	0.5	1	4
740	2	2	71.288	0.6	0	3
741	3	0	75.522	0.8	1	3
742	3	1	78.86	0.9	1	3
743	5	2	82.458	1.1	1	4
744	2	1	88.905	1.3	0	3
745	3	1	72.316	1.6	1	3
746	2	2	76.213	2	1	2
747	4	0	79.527	2.8	1	3
748	2	1	83.325	0.2	0	3
749	4	2	93.848	0.4	1	4
750	3	1	59.098	0.5	1	3
751	6	1	72.542	0.6	1	4
752	2	2	76.376	0.8	0	3
753	3	1	79.689	0.9	1	4
754	2	1	83.548	1.1	0	2
755	4	3	66.696	1.3	1	4
756	2	0	73.422	1.6	0	2
757	3	1	77.045	2.1	1	3
758	3	1	80.377	2.9	1	3
759	5	0	84.554	0.2	1	4
760	2	1	68.897	0.4	0	3
761	3	2	74.226	0.5	1	4
762	2	1	77.704	0.7	0	3
763	4	1	81.093	0.8	1	4
764	2	2	85.746	0.9	0	3
765	4	0	70.38	1.1	1	3
766	3	1	74.977	1.4	1	3
767	7	2	78.359	1.7	1	5
768	1	1	81.848	2.1	0	2
769	3	1	87.272	3.1	1	3
770	2	2	71.549	0.2	0	3
771	4	1	75.69	0.4	1	4
772	2	1	79.019	0.5	0	3
773	3	2	82.659	0.7	1	4
774	2	0	89.595	0.8	0	3
775	4	1	62.77	1	1	3
776	2	2	72.726	1.2	0	3
777	3	1	76.511	1.4	1	3
778	2	1	79.825	1.7	0	3
