ID	PreferenceForPublicTransport	TravelTime	TravelCost	EnvironmentalConcern	SafetyPerception
123	5	15	4.6	1	1
124	4	29	3.0	1	1
125	1	60	8.0	0	1
126	0	56	8.2	1	0
127	2	26	7.6	0	1
128	3	20	1.8	0	1
129	0	54	9.0	1	0
130	0	43	8.3	0	1
131	0	55	8.6	0	1
132	4	17	3.2	1	1
133	2	33	2.2	1	1
134	1	13	1.9	0	1
135	0	51	8.3	0	1
136	0	25	1.6	0	0
137	1	31	4.1	1	1
138	0	39	8.0	0	0
139	0	37	7.8	0	0
140	2	10	4.6	0	0
141	2	24	1.9	0	0
142	2	32	4.7	1	0
143	2	52	6.3	0	0
144	0	47	9.6	0	0
145	2	13	3.0	1	0
146	1	32	2.1	1	0
147	1	36	2.7	0	0
148	0	54	6.6	1	1
149	2	31	1.7	0	0
150	0	50	4.5	0	0
151	0	45	3.7	1	1
152	0	53	5.6	1	0
153	3	40	4.7	1	1
154	2	37	3.8	1	0
155	0	46	1.1	0	1
156	0	54	6.5	0	1
157	3	40	7.5	1	1
158	2	22	9.8	0	1
159	4	15	3.0	1	1
160	1	45	3.3	1	0
161	2	44	9.9	1	0
162	3	12	8.0	1	1
163	1	32	2.1	1	0
164	0	53	2.9	1	0
165	1	45	7.4	0	0
166	0	49	8.0	1	1
167	1	14	8.1	0	0
168	2	19	2.1	0	0
169	1	42	9.4	1	0
170	2	30	1.2	1	0
171	3	35	4.3	0	1
172	2	25	9.5	1	0
173	2	18	2.6	0	0
174	1	41	9.2	1	0
175	1	49	8.9	1	0
176	2	22	2.9	1	0
177	0	45	3.1	0	0
178	2	21	7.1	0	1
179	1	54	7.5	0	1
180	3	23	7.8	1	1
181	1	28	5.2	1	0
182	1	49	3.9	1	0
183	1	47	9.4	1	0
184	1	36	3.8	0	1
185	2	37	7.0	1	0
186	2	36	9.1	1	1
187	0	38	3.9	0	1
188	3	34	6.9	1	1
189	3	15	5.0	0	1
190	0	40	1.8	0	0
191	2	11	3.4	0	1
192	0	53	4.3	0	0
193	1	45	1.9	1	0
194	3	16	2.1	0	0
195	2	28	4.6	0	0
196	2	32	4.6	1	0
197	2	24	1.9	1	0
198	0	37	8.8	0	1
199	1	59	6.4	1	1
200	1	54	8.6	1	0
201	1	30	9.9	1	0
202	0	49	2.6	0	1
203	1	38	4.6	0	0
204	0	54	5.0	1	1
205	1	32	7.2	0	0
206	1	44	9.2	1	0
207	1	21	7.7	1	0
208	3	25	2.4	1	0
209	2	31	1.5	0	1
210	0	51	3.7	1	0
211	3	35	1.5	0	1
212	1	51	3.5	0	0
213	1	32	9.2	0	0
214	1	55	5.6	1	0
215	1	55	6.4	1	0
216	1	57	7.9	1	1
217	4	13	9.7	1	1
218	0	52	5.3	0	1
219	0	55	2.1	0	1
220	2	34	8.8	1	0
221	3	20	3.2	1	0
222	5	28	2.6	1	0
223	1	15	5.9	0	0
224	0	48	1.8	0	0
225	0	51	6.0	0	0
226	0	53	4.2	1	1
227	0	35	5.6	0	0
228	0	23	1.3	0	0
229	1	36	3.1	1	0
230	3	37	8.5	1	1
231	3	18	2.1	1	0
232	1	20	3.4	0	1
233	0	55	6.5	1	1
234	0	55	5.7	0	0
235	2	48	5.2	1	1
236	0	46	7.1	0	0
237	2	33	8.7	0	0
238	2	43	2.6	0	0
239	0	38	6.0	0	1
240	1	42	9.7	1	1
241	2	39	3.0	0	1
242	4	15	4.7	1	0
243	0	17	7.4	0	0
244	2	18	6.5	1	1
245	1	23	8.2	1	0
246	2	40	6.0	1	0
247	4	17	3.3	0	0
248	0	49	5.3	0	1
249	1	44	5.6	1	1
250	3	36	9.5	1	1
251	3	11	4.3	0	1
252	3	12	7.6	0	0
253	4	16	9.9	0	0
254	3	44	2.8	0	0
255	2	12	6.8	0	0
256	1	23	7.8	1	0
257	3	16	4.8	1	1
258	1	46	2.3	0	1
259	3	42	9.1	1	0
260	3	30	8.8	1	1
261	0	60	6.9	0	1
262	0	40	5.7	0	0
263	1	45	3.4	1	1
264	1	40	9.7	0	0
265	0	48	2.0	1	0
266	1	41	1.7	0	1
267	1	42	4.6	0	0
268	1	15	3.4	0	0
269	1	44	1.8	0	1
270	0	13	8.1	0	0
271	0	31	4.8	0	0
272	2	32	5.9	1	0
273	3	26	9.7	1	0
274	3	17	9.8	0	0
275	3	10	5.6	1	0
276	0	42	2.6	0	0
277	0	57	8.3	1	0
278	0	44	6.5	0	1
279	0	54	1.4	1	1
280	3	13	9.8	1	0
281	0	39	1.2	0	1
282	2	25	9.3	1	1
283	0	57	3.7	1	0
284	3	27	2.8	0	0
285	1	37	6.2	1	1
286	2	36	1.5	0	1
287	0	38	1.5	0	0
288	2	37	3.1	1	1
289	1	48	5.0	0	0
290	2	54	1.8	1	1
291	2	29	3.2	0	1
292	0	34	9.6	0	0
293	0	37	7.5	0	1
294	1	18	8.2	1	0
295	2	33	5.3	1	0
296	2	28	4.9	1	0
297	1	34	8.7	0	1
298	3	48	1.5	1	1
299	0	51	2.7	0	0
300	2	21	8.3	0	0
301	2	33	1.8	0	0
302	1	24	8.9	1	1
303	3	11	9.5	1	1
304	1	31	3.2	0	0
305	0	35	8.9	0	0
306	0	26	3.6	0	1
307	1	47	1.1	1	1
308	2	25	6.9	1	0
309	0	43	9.1	1	0
310	2	44	6.6	1	1
311	2	53	6.9	0	1
312	2	15	4.2	0	1
313	1	34	2.9	0	0
314	2	17	8.9	1	0
315	1	26	6.7	0	0
316	1	49	8.9	1	1
317	1	56	1.8	0	1
318	1	14	7.7	0	0
319	1	51	9.8	1	0
320	0	36	8.2	0	0
321	1	54	1.4	0	0
322	1	27	8.7	0	1
323	1	25	1.9	0	1
324	0	59	4.2	0	1
325	0	35	9.3	1	0
326	0	44	9.7	0	0
327	1	48	6.5	1	0
328	0	43	4.8	0	1
329	0	33	7.0	1	0
330	3	21	7.1	1	1
331	2	45	1.5	1	1
332	0	26	4.0	0	1
333	3	28	7.7	1	0
334	1	36	8.1	0	0
335	0	38	6.4	0	1
336	3	12	5.6	0	0
337	0	27	3.5	0	0
338	0	30	4.4	0	1
339	0	47	5.3	0	0
340	2	42	6.3	1	1
341	4	21	9.8	1	1
342	1	14	6.1	0	1
343	0	60	5.2	0	1
344	0	59	2.4	0	0
345	3	22	2.2	0	1
346	2	41	1.7	1	1
347	2	18	9.2	0	0
348	1	41	6.4	0	1
349	2	14	8.8	0	0
350	2	21	1.5	0	0
351	1	26	1.0	0	0
352	1	50	5.6	0	1
353	0	51	6.6	1	0
354	1	53	7.6	0	1
355	3	20	3.0	1	1
356	2	52	2.2	1	0
357	0	55	9.0	0	0
358	3	27	7.8	1	1
359	3	23	6.6	0	0
360	1	47	7.3	0	1
361	1	26	1.2	1	0
362	0	43	9.2	0	1
363	0	40	2.6	1	0
364	1	58	3.4	0	1
365	3	20	3.4	0	1
366	0	44	7.1	0	1
367	2	27	6.5	1	0
368	1	49	3.6	1	0
369	2	43	9.5	0	1
370	2	17	3.9	0	0
371	0	37	10.0	0	0
372	0	37	6.8	0	0
373	2	13	6.6	0	1
374	2	28	1.3	1	0
375	2	32	9.0	1	1
376	5	23	7.6	1	0
377	1	18	8.1	0	1
378	0	48	8.3	1	1
379	4	44	2.1	1	1
380	0	51	9.1	0	1
381	1	45	4.7	1	0
382	1	31	9.9	0	1
383	0	28	6.1	0	0
384	2	39	4.4	1	1
385	2	39	4.6	1	0
386	0	28	9.2	0	1
387	1	29	9.7	1	1
388	1	55	6.3	1	0
389	4	10	8.1	1	1
390	2	14	2.3	0	1
391	1	12	3.1	0	0
392	4	16	1.3	1	1
393	0	39	6.9	0	0
394	3	11	1.4	1	0
395	0	50	8.9	0	0
396	4	11	1.3	1	1
397	2	29	1.3	1	1
398	0	31	9.8	1	0
399	0	29	3.4	0	0
400	2	37	3.6	0	1
401	0	59	7.3	0	0
402	2	19	4.6	0	1
403	3	25	4.1	0	1
404	3	11	4.6	1	1
405	0	46	4.7	0	1
406	1	42	7.9	0	1
407	0	25	7.0	0	0
408	1	38	9.6	1	0
409	1	36	2.0	1	0
410	1	36	2.3	1	1
411	2	15	8.7	1	0
412	5	12	4.9	1	1
413	3	32	7.1	1	0
414	0	58	7.8	0	0
415	4	44	3.0	1	1
416	0	23	8.1	0	1
417	1	54	6.3	0	1
418	1	25	6.6	0	1
419	2	52	7.0	1	1
420	0	26	4.6	0	1
421	0	57	1.5	1	1
422	3	26	1.0	1	1
423	1	59	2.2	0	0
424	0	57	4.3	0	0
425	1	12	1.1	0	1
426	3	23	7.5	0	1
427	1	50	6.4	0	0
428	3	23	6.1	1	1
429	2	40	1.7	1	0
430	2	12	5.9	1	0
431	2	15	2.9	0	1
432	0	53	3.7	0	0
433	0	43	6.0	1	1
434	0	37	6.8	0	0
435	1	59	8.4	1	1
436	1	38	3.1	0	1
437	3	24	1.7	0	1
438	3	24	1.6	0	0
439	4	22	3.3	0	1
440	1	54	2.7	1	1
441	2	40	4.6	1	1
442	3	11	7.6	0	1
443	1	48	9.9	1	1
444	4	12	4.8	1	1
445	0	38	7.6	0	0
446	0	48	5.6	1	1
447	1	25	9.6	1	0
448	1	51	7.2	0	1
449	0	57	3.0	1	1
450	2	32	5.3	0	1
451	2	10	1.1	0	1
452	1	45	9.2	1	0
453	3	25	6.1	1	0
454	0	25	6.7	0	0
455	2	28	4.6	0	1
456	2	12	1.7	1	1
457	1	36	8.2	1	1
458	0	45	2.0	0	1
459	2	23	9.2	1	1
460	0	44	2.7	0	1
461	0	60	1.6	0	0
462	0	11	4.2	0	0
463	2	40	3.5	0	1
464	1	58	8.8	0	1
465	3	49	4.1	0	1
466	0	44	6.2	1	1
467	1	45	2.7	1	0
468	0	38	1.0	1	1
469	2	34	9.5	0	1
470	1	33	8.6	1	1
471	3	15	2.2	1	1
472	3	36	9.3	1	1
473	0	51	5.7	1	0
474	2	11	4.1	0	1
475	2	51	7.4	0	0
476	2	14	9.1	0	1
477	1	10	9.4	0	0
478	1	55	7.7	1	1
479	1	45	8.6	0	0
480	4	46	1.9	1	1
481	3	14	4.0	0	0
482	3	51	3.8	1	1
483	1	38	9.4	1	1
484	2	37	9.7	0	0
485	0	52	2.3	0	1
486	1	18	7.5	0	0
487	2	31	1.9	0	0
488	1	20	7.9	0	0
489	3	20	5.6	1	0
490	2	33	7.3	1	1
491	3	19	1.7	1	0
492	0	45	1.8	1	0
493	3	11	4.6	1	1
494	4	19	1.0	1	1
495	0	27	4.7	0	0
496	1	34	7.7	0	1
497	3	31	8.8	0	1
498	0	53	7.7	0	0
499	1	14	7.4	0	1
500	2	27	4.4	0	0
501	1	38	2.4	0	1
502	1	26	5.6	1	0
503	3	36	4.1	0	0
504	1	19	4.0	0	0
505	1	33	2.0	1	1
506	2	43	3.1	1	1
507	2	51	8.6	1	0
508	0	46	8.7	1	0
509	2	53	1.6	1	0
510	4	36	8.2	1	1
511	1	57	7.0	1	1
512	1	55	3.0	1	1
513	0	43	1.9	1	0
514	1	41	4.9	0	0
515	0	48	7.7	0	1
516	2	10	7.0	1	0
517	3	31	6.7	1	1
518	0	49	7.8	0	0
519	2	56	7.5	0	0
520	1	32	8.0	1	0
521	0	57	9.2	0	1
522	0	33	9.5	1	1
523	2	17	9.8	1	0
524	3	40	1.8	1	1
525	2	29	9.0	0	1
526	3	16	1.6	1	0
527	1	56	8.5	0	1
528	1	47	8.4	1	0
529	3	20	9.3	1	0
530	1	52	9.9	1	0
531	1	37	9.7	1	0
532	1	54	4.7	1	1
533	1	28	3.7	0	0
534	0	40	7.6	1	0
535	2	18	1.1	0	0
536	2	53	8.3	0	1
537	1	34	7.7	1	0
538	2	32	3.2	0	0
539	0	26	5.0	0	0
540	0	34	8.9	0	1
541	0	50	2.5	0	1
542	2	11	3.4	0	0
543	1	53	4.3	1	0
544	2	35	7.6	1	0
545	0	51	2.3	0	0
546	2	19	3.1	1	0
547	2	13	8.6	0	1
548	1	38	2.4	0	1
549	2	39	3.2	1	1
550	0	36	4.5	1	0
551	1	53	5.6	1	1
552	1	26	2.4	0	1
553	3	11	9.8	1	0
554	0	43	5.8	0	0
555	1	44	5.9	0	1
556	4	26	9.0	1	1
557	3	28	2.9	1	1
558	0	56	1.4	0	0
559	2	12	9.5	0	0
560	1	20	1.6	1	0
561	1	37	5.2	0	1
562	0	25	7.8	0	1
563	1	18	3.9	0	0
564	2	19	7.6	0	1
565	3	34	3.2	1	1
566	3	15	7.5	0	1
567	3	25	1.1	0	1
568	3	24	3.2	1	1
569	0	53	8.8	0	1
570	0	43	9.1	0	0
571	0	13	7.8	0	0
572	2	28	4.5	0	0
573	1	46	6.1	1	0
574	2	15	8.8	0	1
575	0	53	2.8	1	0
576	2	32	4.0	0	1
577	0	38	9.2	0	0
578	2	41	7.7	1	1
579	3	18	4.9	0	1
580	2	41	9.9	0	0
581	2	26	9.9	1	0
582	1	35	6.4	0	1
583	0	47	7.1	0	0
584	3	28	4.9	1	0
585	2	30	1.1	0	0
586	1	56	3.6	1	1
587	2	47	8.2	0	1
588	3	56	5.9	1	1
589	2	11	1.6	0	1
590	2	37	4.9	0	1
591	2	23	6.1	1	0
592	2	45	4.3	1	0
593	2	35	3.6	1	1
594	1	48	1.3	0	0
595	0	59	4.9	0	0
596	2	32	3.3	0	0
597	4	12	4.7	1	1
598	4	21	3.0	0	1
599	1	21	2.4	0	1
600	1	46	7.6	1	0
601	0	49	1.4	0	0
602	1	56	2.4	1	1
603	0	56	3.6	0	0
604	0	58	6.1	0	0
605	3	35	1.2	1	1
606	1	47	7.5	1	1
607	0	56	9.0	0	0
608	0	57	9.2	0	0
609	2	30	1.1	0	1
610	0	46	2.3	1	0
611	1	18	6.3	1	1
612	1	40	1.1	1	0
613	0	53	4.6	1	1
614	2	43	8.2	0	1
615	1	41	8.0	1	1
616	3	13	5.1	1	1
617	0	52	8.8	0	1
618	2	21	1.5	0	1
619	0	52	5.9	1	0
620	3	25	6.7	1	1
621	1	58	8.6	1	0
622	1	13	7.0	0	0
623	2	54	2.5	1	1
624	2	40	5.1	1	0
625	0	20	7.4	0	0
626	1	28	6.0	1	0
627	0	57	3.6	1	0
628	1	44	5.5	0	0
629	2	38	5.9	1	1
630	2	41	6.5	0	1
631	2	47	6.3	0	1
632	0	34	2.4	1	0
633	0	54	9.8	0	1
634	1	52	4.1	1	1
635	0	46	2.2	0	0
636	0	58	4.2	1	1
637	0	27	9.6	0	0
638	4	16	7.0	1	0
639	1	47	6.1	1	0
640	2	50	8.1	1	1
641	0	47	9.4	0	0
642	1	43	6.5	0	1
643	2	29	1.2	0	1
644	3	22	2.8	1	0
645	3	15	6.3	1	1
646	2	58	2.8	1	1
647	1	25	2.5	0	1
648	1	30	7.1	1	1
649	1	21	4.9	0	0
650	1	44	2.8	0	1
651	2	40	3.6	1	0
652	2	53	2.2	1	1
653	1	29	9.4	0	1
654	1	55	6.2	1	1
655	2	48	2.3	0	0
656	4	18	1.7	0	1
657	1	38	6.8	1	0
658	4	13	1.4	1	0
659	4	44	1.8	1	0
660	2	34	9.5	1	0
661	3	14	3.5	1	1
662	1	29	4.4	1	0
663	1	14	6.9	0	1
664	1	25	8.0	0	0
665	1	59	5.7	1	0
666	2	17	3.0	0	1
667	1	59	5.4	1	0
668	3	13	4.7	1	0
669	2	35	7.2	1	1
670	2	16	1.9	0	1
671	0	39	6.8	0	1
672	4	12	8.0	1	1
673	0	38	7.9	0	0
674	1	29	9.7	1	0
675	1	55	4.0	0	1
676	2	47	8.3	1	0
677	1	59	4.0	0	1
678	2	46	4.9	1	0
679	1	58	2.1	0	1
680	0	40	3.0	0	0
681	0	47	1.5	1	1
682	2	13	5.4	0	0
683	0	45	9.0	0	1
684	2	52	7.0	1	0
685	1	28	3.1	0	0
686	1	18	3.7	0	0
687	0	51	6.3	1	1
688	3	55	5.0	1	0
689	0	24	8.4	0	0
690	1	17	2.7	1	1
691	4	27	3.6	1	0
692	0	35	1.2	0	1
693	1	55	6.1	1	1
694	3	13	7.3	1	1
695	3	11	5.0	1	1
696	1	19	5.0	0	1
697	1	12	8.9	1	0
698	2	52	7.1	1	0
699	1	41	4.7	0	0
700	0	56	7.5	1	0
701	2	59	1.2	0	1
702	2	45	1.8	1	0
703	0	47	7.6	0	1
704	2	21	5.9	0	1
705	3	42	7.5	1	0
706	0	56	7.1	0	1
707	2	39	7.7	1	1
708	1	39	9.8	1	1
709	2	36	2.9	1	1
710	0	25	2.1	0	0
711	2	25	9.5	1	1
712	0	50	7.0	0	1
713	0	25	4.7	0	1
714	3	31	7.2	1	0
715	2	14	4.1	0	0
716	0	56	8.0	0	0
717	2	36	3.1	0	1
718	0	34	9.1	0	0
719	1	44	9.3	0	0
720	1	13	6.6	1	0
721	3	24	4.5	1	0
722	2	14	2.9	1	1
723	2	18	8.6	0	0
724	0	19	2.9	0	0
725	3	37	7.6	1	0
726	2	27	7.9	1	1
727	3	14	1.4	1	1
728	0	45	2.7	0	1
729	0	54	7.3	0	0
730	0	55	1.8	0	0
731	0	58	8.6	0	0
732	3	28	1.2	1	1
733	3	45	8.0	1	0
734	0	34	6.0	1	0
735	0	43	9.9	0	1
736	3	18	6.6	0	1
737	0	53	8.0	1	0
738	2	48	1.8	1	1
739	2	37	9.5	1	1
740	1	30	2.3	0	1
741	1	33	5.4	0	1
742	3	26	2.7	1	1
743	0	58	1.8	0	1
744	0	33	9.7	0	0
745	0	58	4.2	0	0
746	0	54	3.3	0	0
747	1	28	8.1	1	1
748	1	52	5.2	1	1
749	1	60	9.6	1	0
750	0	53	6.9	0	1
751	5	14	2.3	1	1
752	0	38	7.2	0	0
753	1	55	1.8	1	0
754	2	35	3.6	1	1
755	0	60	2.5	1	0
756	0	32	2.3	0	1
757	2	25	8.6	0	1
758	1	31	8.1	0	1
759	1	27	6.3	0	0
760	4	10	1.4	1	1
761	1	39	7.0	0	0
762	2	20	4.3	0	1
763	2	37	9.7	1	1
764	0	35	4.7	0	0
765	0	55	8.0	0	0
766	1	30	8.1	0	1
767	4	15	3.8	0	1
768	0	20	8.7	0	0
769	0	55	1.2	0	1
770	2	40	5.7	1	1
771	0	45	4.4	0	1
772	1	52	6.9	1	0
773	0	45	8.4	1	0
774	0	59	7.5	0	1
775	4	15	2.7	0	1
776	1	11	2.8	1	0
777	0	27	3.1	0	0
778	4	20	5.7	0	1
779	0	44	7.7	1	0
780	1	25	8.6	1	1
781	2	16	1.5	0	1
782	0	58	6.2	0	1
783	1	49	7.9	1	0
784	2	29	5.5	1	0
785	2	28	4.1	0	1
786	2	23	3.7	1	1
787	0	54	1.8	0	0
788	0	46	2.7	0	1
789	2	32	8.4	1	1
790	2	46	6.8	0	1
791	1	27	9.4	0	1
792	0	32	3.6	0	0
793	2	23	7.7	0	0
794	0	50	7.7	0	1
795	3	18	7.5	0	1
796	3	13	9.0	0	0
797	2	19	2.0	1	1
798	1	46	1.9	0	0
799	1	17	4.6	0	0
800	0	56	4.2	1	0
801	2	30	5.0	1	0
802	0	28	6.8	1	1
803	0	51	5.8	0	1
804	1	56	1.0	1	1
805	2	16	6.0	1	0
806	2	15	3.5	1	1
807	0	45	1.9	1	0
808	3	11	8.6	0	0
809	0	45	9.8	1	1
810	1	31	6.9	0	1
811	1	47	4.4	1	1
812	0	45	8.6	0	0
813	0	35	1.8	0	0
814	0	37	2.5	0	0
815	0	58	4.4	0	0
816	3	14	7.0	0	1
817	2	21	2.6	0	0
818	0	29	9.2	0	0
819	0	60	3.2	1	0
820	0	43	6.1	1	0
821	0	42	4.2	0	1
822	3	12	6.5	1	0
823	1	22	5.9	1	1
824	1	28	3.8	0	0
825	0	42	6.8	0	1
826	0	53	9.3	1	1
827	1	43	6.1	1	0
828	1	35	5.4	0	0
829	2	28	1.1	0	0
830	1	58	7.8	1	1
831	2	33	5.3	1	1
832	1	57	9.1	0	0
833	1	38	8.0	1	0
834	1	25	4.5	1	0
835	1	25	4.9	1	0
836	0	55	5.8	1	0
837	1	32	1.8	0	0
838	2	27	7.2	0	0
839	0	32	3.1	0	0
840	0	59	7.5	1	0
841	3	49	6.0	1	1
842	1	26	9.9	0	0
843	0	49	2.1	0	0
844	1	34	2.5	0	1
845	0	44	2.4	1	0
846	2	40	5.4	0	1
847	2	48	7.4	1	1
848	1	29	4.7	0	0
849	1	25	7.9	0	0
850	3	13	8.7	0	1
851	3	38	3.2	1	1
852	0	56	2.8	1	1
853	0	37	4.4	0	0
854	3	18	5.3	1	1
855	3	21	6.9	1	1
856	0	59	5.3	0	1
857	1	46	8.1	1	0
858	2	34	1.5	0	0
859	1	16	7.3	0	1
860	1	17	8.6	1	1
861	1	26	2.5	0	1
862	0	50	3.7	1	1
863	2	27	6.4	1	0
864	1	33	5.3	0	0
865	2	44	1.4	1	1
866	2	28	4.6	1	0
867	2	51	2.8	0	1
868	2	14	5.7	0	0
869	2	21	1.5	0	1
870	2	31	4.9	0	0
871	1	24	6.2	0	0
872	3	32	1.5	0	1
873	0	49	8.2	0	1
874	0	40	5.8	1	0
875	4	20	9.5	1	1
876	1	52	3.8	1	1
877	2	54	1.8	1	0
878	2	34	3.4	1	1
879	0	22	1.4	0	1
880	2	31	9.3	1	1
881	0	36	1.9	0	1
882	1	24	7.3	0	0
883	1	38	2.2	0	0
884	3	37	6.1	0	1
885	0	31	8.6	0	0
886	1	30	2.5	0	0
887	1	54	9.6	0	0
888	1	21	9.5	1	1
889	1	55	2.3	0	1
890	0	30	9.4	0	1
891	4	43	1.6	1	1
892	0	55	2.3	0	0
893	0	36	5.8	0	0
894	0	52	9.7	0	0
895	2	14	4.5	1	0
896	2	28	6.2	1	0
897	0	50	2.5	1	0
898	2	39	1.0	1	1
899	3	14	2.0	1	0
900	2	19	8.0	0	0
901	0	29	6.4	0	0
902	3	20	5.3	0	0
903	0	19	4.6	0	1
904	0	58	1.7	0	1
905	2	41	2.3	1	0
906	1	18	8.4	1	0
907	1	58	9.5	1	0
908	3	20	9.7	1	1
909	1	58	2.7	0	1
910	0	54	1.2	1	0
911	3	32	1.4	1	0
912	1	18	8.6	1	1
913	0	59	5.6	1	0
914	3	19	8.8	0	1
915	4	11	1.8	1	1
916	3	12	1.8	0	0
917	1	47	2.7	0	1
918	1	26	6.5	1	1
919	1	44	6.4	0	1
920	1	16	5.2	1	0
921	1	26	9.9	1	0
922	0	56	3.0	0	1
923	1	60	4.9	1	1
924	1	54	7.2	0	1
925	1	12	9.1	1	1
926	3	44	5.8	1	0
927	0	57	5.7	0	0
928	1	44	7.5	1	0
929	2	11	4.6	0	1
930	3	30	7.5	0	1
931	1	46	6.7	1	1
932	1	27	5.6	1	1
933	0	57	2.2	0	0
934	0	57	7.1	0	1
935	1	27	7.8	1	0
936	2	35	3.5	1	1
937	2	13	6.7	1	0
938	2	19	5.2	1	1
939	2	22	6.1	0	0
940	2	19	6.3	1	0
941	1	32	6.6	0	0
942	2	16	4.5	1	0
943	0	59	6.7	0	1
944	2	23	8.9	1	1
945	1	55	2.8	0	1
946	0	24	8.0	0	1
947	1	26	1.3	0	0
948	0	44	8.9	0	0
949	1	27	5.5	0	0
950	0	22	5.7	0	0
951	2	10	4.1	0	0
952	0	30	8.1	0	1
953	0	49	4.2	0	0
954	1	39	5.5	1	1
955	2	15	7.3	0	0
956	2	43	9.1	1	1
957	3	31	7.7	1	1
958	3	14	1.2	0	1
959	2	57	5.5	1	1
960	3	49	7.6	1	1
961	3	23	4.7	0	0
962	0	43	8.5	1	0
963	0	38	8.3	1	0
964	1	14	5.0	1	0
965	1	50	8.9	1	1
966	0	34	2.5	1	0
967	1	45	8.0	0	0
968	2	28	1.3	1	0
969	4	16	7.0	1	1
970	1	19	9.4	0	1
971	0	36	3.5	0	0
972	3	20	7.4	0	0
973	0	49	2.1	0	1
974	1	13	4.3	1	0
975	1	49	4.5	1	0
976	1	54	7.5	0	0
977	3	14	6.4	1	1
978	3	26	3.8	1	0
979	3	15	9.3	1	0
980	1	20	1.1	0	1
981	0	40	1.6	1	1
982	3	29	3.4	1	1
983	1	32	4.5	0	1
984	0	31	6.7	0	1
985	3	10	7.5	1	0
986	1	36	1.2	1	0
987	1	59	4.7	1	1
988	0	49	5.4	1	1
989	1	31	4.6	0	0
990	1	60	7.7	1	0
991	2	11	2.5	0	0
992	3	59	1.3	1	1
993	2	22	5.3	1	0
