ID	Gender	Age	Bus_travel_time	Metro_travel_time	Car_travel_time	Bus_travel_cost	Metro_travel_cost	Car_travel_cost	Bus_headway_time	Metro_headway_time	Choice	Attitude1	Attitude2	Attitude3
21	0	62	25	30	18	2.5	2.5	10	7	7	3	4	5	5
21	0	62	30	40	18	2	3	10	12	8	3	4	5	5
21	0	62	30	30	22	1.5	3	12	12	8	3	4	5	5
21	0	62	25	20	18	2	2	9	7	5	2	4	5	5
21	0	62	30	40	22	2.5	2.5	10	12	5	3	4	5	5
21	0	62	30	30	12	1.5	2.5	12	9	8	1	4	5	5
21	0	62	30	40	12	2	2.5	9	7	7	3	4	5	5
21	0	62	35	40	18	2.5	2.5	10	7	5	3	4	5	5
22	1	21	35	30	22	1.5	3	12	9	5	2	4	3	3
22	1	21	30	40	12	2	3	10	9	7	1	4	3	3
22	1	21	30	30	18	2	3	9	9	5	2	4	3	3
22	1	21	35	20	12	1.5	3	10	9	5	2	4	3	3
22	1	21	35	40	12	2.5	2	10	12	7	3	4	3	3
22	1	21	35	40	12	2	2.5	10	12	8	2	4	3	3
22	1	21	25	20	12	2.5	2	9	7	5	2	4	3	3
22	1	21	30	30	18	2.5	2.5	10	7	7	2	4	3	3
22	1	21	30	40	18	2	3	10	9	8	2	4	3	3
22	1	21	35	20	12	2	2.5	12	7	8	1	4	3	3
23	1	49	30	30	18	2	2.5	10	12	7	3	1	5	3
23	1	49	35	30	12	1.5	3	10	12	5	2	1	5	3
23	1	49	25	30	22	2.5	3	10	7	5	3	1	5	3
23	1	49	25	30	18	1.5	2.5	12	9	5	2	1	5	3
23	1	49	25	20	22	2	2.5	12	9	5	2	1	5	3
23	1	49	30	20	12	2	2.5	10	7	7	2	1	5	3
23	1	49	25	30	12	2	3	9	9	5	3	1	5	3
23	1	49	25	40	12	2.5	2.5	10	12	5	2	1	5	3
23	1	49	25	30	22	2	2	9	9	7	2	1	5	3
23	1	49	30	30	22	1.5	2.5	10	9	8	1	1	5	3
24	0	27	30	40	18	2.5	3	9	12	7	3	5	2	3
24	0	27	25	30	18	2	2.5	9	12	5	2	5	2	3
24	0	27	35	30	22	2	3	9	9	5	2	5	2	3
24	0	27	35	30	18	2	2.5	10	7	5	2	5	2	3
24	0	27	35	30	22	2	2.5	10	12	8	3	5	2	3
24	0	27	25	40	22	2	3	9	7	8	1	5	2	3
24	0	27	35	30	12	1.5	2	12	7	8	2	5	2	3
24	0	27	35	20	18	1.5	3	10	9	8	2	5	2	3
24	0	27	25	30	18	1.5	2.5	9	12	7	3	5	2	3
24	0	27	30	20	12	1.5	2.5	10	9	7	1	5	2	3
25	0	28	35	40	18	2	2.5	12	9	7	2	3	4	3
25	0	28	25	30	12	2.5	2.5	10	9	7	1	3	4	3
25	0	28	30	30	22	2.5	3	9	9	8	3	3	4	3
25	0	28	25	30	12	1.5	3	12	12	8	2	3	4	3
25	0	28	25	30	18	1.5	2.5	12	7	7	1	3	4	3
25	0	28	30	30	18	2	2	10	12	5	2	3	4	3
25	0	28	25	30	18	1.5	2.5	10	9	7	3	3	4	3
25	0	28	25	30	12	2	2.5	9	9	8	1	3	4	3
25	0	28	25	20	18	2	2.5	9	7	8	2	3	4	3
25	0	28	25	30	18	1.5	2	10	9	8	1	3	4	3
26	1	45	25	40	18	1.5	2	9	9	5	3	4	3	5
26	1	45	35	40	18	1.5	2	9	9	5	2	4	3	5
26	1	45	30	40	22	2	2	9	9	8	3	4	3	5
26	1	45	30	20	22	2.5	3	10	7	5	2	4	3	5
26	1	45	35	30	22	1.5	2.5	10	7	7	3	4	3	5
26	1	45	30	40	18	2	3	9	12	7	1	4	3	5
26	1	45	35	30	12	2.5	2.5	12	7	7	1	4	3	5
26	1	45	30	30	18	2	2.5	10	9	5	2	4	3	5
26	1	45	35	30	18	1.5	2.5	10	7	8	2	4	3	5
26	1	45	25	40	12	2	3	9	9	7	1	4	3	5
27	1	63	30	30	18	2.5	2.5	12	12	7	3	4	5	4
27	1	63	35	40	22	2	3	12	7	5	2	4	5	4
27	1	63	30	20	22	1.5	2.5	10	9	7	3	4	5	4
27	1	63	30	40	18	2.5	2.5	10	9	7	2	4	5	4
27	1	63	35	40	12	2	3	10	9	7	3	4	5	4
27	1	63	35	40	12	1.5	2.5	10	9	7	3	4	5	4
27	1	63	30	30	12	2	2.5	9	7	5	3	4	5	4
27	1	63	35	20	18	1.5	3	12	7	8	1	4	5	4
27	1	63	30	30	18	2	3	10	12	7	2	4	5	4
27	1	63	30	40	18	2	2.5	10	9	8	3	4	5	4
28	1	25	35	30	22	2	2.5	12	12	7	3	1	2	1
28	1	25	35	30	18	2.5	2.5	10	12	7	2	1	2	1
28	1	25	30	20	18	2.5	2	12	9	7	2	1	2	1
28	1	25	35	30	18	2	2.5	12	9	7	2	1	2	1
28	1	25	30	40	12	2	3	10	9	5	3	1	2	1
28	1	25	30	30	12	1.5	2.5	10	9	8	1	1	2	1
28	1	25	25	30	12	2	2	10	9	5	2	1	2	1
28	1	25	25	30	22	2	3	9	9	7	1	1	2	1
28	1	25	35	30	22	2	3	9	7	7	3	1	2	1
28	1	25	30	30	22	2	2	10	12	5	2	1	2	1
29	1	57	30	30	12	2	2	10	7	8	3	4	5	5
29	1	57	35	30	18	2	2	10	12	5	2	4	5	5
29	1	57	35	30	22	1.5	3	10	12	7	3	4	5	5
29	1	57	30	40	12	2.5	2	10	12	7	2	4	5	5
29	1	57	30	30	18	2	2	10	12	5	3	4	5	5
29	1	57	35	40	12	2	2.5	10	9	7	3	4	5	5
29	1	57	35	40	22	2.5	2.5	10	12	7	3	4	5	5
29	1	57	30	30	18	2.5	2.5	12	9	7	2	4	5	5
29	1	57	30	30	18	2	2.5	10	9	7	2	4	5	5
29	1	57	25	40	18	1.5	2.5	9	9	8	1	4	5	5
30	0	39	30	40	12	2	2	9	9	5	3	3	4	3
30	0	39	30	30	12	2.5	2	10	7	7	2	3	4	3
30	0	39	30	30	18	2.5	2.5	9	12	5	2	3	4	3
30	0	39	25	40	22	2	2	12	9	7	2	3	4	3
30	0	39	25	20	18	1.5	2.5	10	12	5	3	3	4	3
30	0	39	30	20	12	1.5	2.5	10	7	5	1	3	4	3
30	0	39	30	40	18	2.5	2.5	12	9	8	3	3	4	3
30	0	39	30	40	18	2	2.5	10	9	5	2	3	4	3
30	0	39	30	20	18	2.5	3	9	12	5	2	3	4	3
30	0	39	30	20	18	1.5	3	10	9	5	3	3	4	3
31	1	51	25	30	22	2	2.5	10	9	8	3	4	5	4
31	1	51	30	30	18	1.5	2.5	9	9	7	3	4	5	4
31	1	51	25	20	12	2.5	2	10	7	8	3	4	5	4
31	1	51	30	40	18	2	2.5	9	7	5	1	4	5	4
31	1	51	30	30	18	1.5	2.5	12	9	5	1	4	5	4
31	1	51	25	40	12	2.5	2.5	10	12	8	3	4	5	4
31	1	51	30	30	22	2	2.5	9	7	7	3	4	5	4
31	1	51	30	20	22	1.5	2.5	10	7	7	1	4	5	4
31	1	51	30	20	12	1.5	3	9	9	8	3	4	5	4
31	1	51	30	30	22	2	3	12	7	7	1	4	5	4
32	0	62	30	40	12	2	3	10	9	8	3	5	2	4
32	0	62	30	40	18	2	2	10	12	5	2	5	2	4
32	0	62	30	20	12	2	2.5	12	7	5	2	5	2	4
32	0	62	30	30	12	2.5	2	10	9	7	2	5	2	4
32	0	62	30	40	18	2	2.5	10	9	5	3	5	2	4
32	0	62	30	40	22	2.5	2.5	12	9	7	2	5	2	4
32	0	62	35	30	22	2	3	10	9	8	3	5	2	4
32	0	62	25	30	18	2	2.5	10	9	7	3	5	2	4
32	0	62	35	20	22	2	3	9	12	5	3	5	2	4
32	0	62	35	40	18	2	2.5	12	9	8	1	5	2	4
33	1	52	30	30	12	2	2.5	9	9	7	3	5	4	1
33	1	52	30	20	22	2.5	2.5	9	9	7	2	5	4	1
33	1	52	30	40	18	1.5	2.5	10	9	5	2	5	4	1
33	1	52	30	30	18	2	2.5	10	7	8	2	5	4	1
33	1	52	30	30	22	2	2.5	9	9	8	3	5	4	1
33	1	52	35	20	18	1.5	2.5	12	12	5	2	5	4	1
33	1	52	35	30	18	1.5	2	10	7	8	3	5	4	1
33	1	52	30	20	12	1.5	3	12	9	7	2	5	4	1
33	1	52	35	30	18	2	2	10	9	5	2	5	4	1
33	1	52	30	30	18	2	3	10	7	8	3	5	4	1
34	0	52	30	20	22	2.5	2.5	12	7	5	2	4	4	4
34	0	52	30	30	12	2	3	10	7	8	1	4	4	4
34	0	52	35	40	18	2	2.5	10	12	7	3	4	4	4
34	0	52	30	20	18	2.5	2.5	9	9	8	2	4	4	4
34	0	52	25	30	18	2.5	2.5	9	12	8	3	4	4	4
34	0	52	30	30	12	2	3	9	7	7	3	4	4	4
34	0	52	25	30	18	1.5	2.5	10	9	7	3	4	4	4
34	0	52	30	40	18	2	2	12	9	5	2	4	4	4
34	0	52	30	30	22	1.5	2	10	7	8	2	4	4	4
34	0	52	30	30	18	2	2.5	10	7	8	1	4	4	4
35	1	42	30	40	22	2	2	10	12	7	3	4	5	2
35	1	42	35	30	12	2	3	12	9	7	2	4	5	2
35	1	42	35	40	18	2	2.5	12	9	7	2	4	5	2
35	1	42	35	20	12	2	2.5	10	12	7	2	4	5	2
35	1	42	30	20	18	2.5	2.5	9	9	5	3	4	5	2
35	1	42	25	30	18	2.5	3	10	7	8	1	4	5	2
35	1	42	30	20	12	2.5	2.5	10	9	5	2	4	5	2
35	1	42	30	30	18	2	3	9	12	5	2	4	5	2
35	1	42	35	40	18	2	3	12	9	8	2	4	5	2
35	1	42	30	20	22	2	2.5	10	12	5	1	4	5	2
36	1	51	30	30	22	2.5	2.5	10	9	5	3	5	3	5
36	1	51	25	20	12	2.5	2.5	9	7	5	1	5	3	5
36	1	51	35	40	22	1.5	2	9	9	8	3	5	3	5
36	1	51	25	30	18	2	3	9	9	7	2	5	3	5
36	1	51	35	30	12	1.5	2	12	12	8	3	5	3	5
36	1	51	35	20	18	2	2.5	10	12	7	2	5	3	5
36	1	51	25	30	18	1.5	2.5	10	12	7	3	5	3	5
36	1	51	30	40	18	2	2.5	10	9	8	2	5	3	5
36	1	51	25	20	18	2.5	2	10	9	8	2	5	3	5
36	1	51	25	30	22	1.5	2.5	10	9	8	2	5	3	5
37	0	23	30	30	18	1.5	2.5	10	9	7	3	4	4	3
37	0	23	35	20	18	2.5	2.5	10	9	5	2	4	4	3
37	0	23	30	20	18	1.5	2	9	12	5	2	4	4	3
37	0	23	35	20	22	2	2	12	9	7	2	4	4	3
37	0	23	30	20	12	2	3	10	9	7	3	4	4	3
37	0	23	30	40	18	2.5	3	9	12	7	3	4	4	3
37	0	23	25	40	22	2.5	2.5	12	9	7	3	4	4	3
37	0	23	25	30	22	1.5	2.5	10	12	7	1	4	4	3
37	0	23	30	30	12	2.5	2	12	9	8	2	4	4	3
37	0	23	35	30	22	2	2	10	7	5	2	4	4	3
38	1	58	25	30	12	2	2.5	10	12	7	3	4	4	4
38	1	58	25	30	18	2.5	2.5	9	7	7	2	4	4	4
38	1	58	25	20	18	2.5	2	9	12	5	2	4	4	4
38	1	58	35	40	18	2	3	12	9	7	2	4	4	4
38	1	58	35	30	18	2	2.5	9	7	5	3	4	4	4
38	1	58	25	40	18	2	2.5	9	9	5	1	4	4	4
38	1	58	30	40	22	2	2.5	10	9	8	1	4	4	4
38	1	58	25	20	18	2.5	2.5	9	12	8	2	4	4	4
38	1	58	30	30	12	2	3	10	7	8	3	4	4	4
38	1	58	30	30	22	2	2.5	9	9	5	3	4	4	4
39	1	54	35	40	12	2	3	12	12	7	3	5	5	4
39	1	54	30	20	22	1.5	2.5	12	7	5	2	5	5	4
39	1	54	30	30	12	2.5	3	9	12	7	3	5	5	4
39	1	54	35	30	18	1.5	3	12	12	8	2	5	5	4
39	1	54	30	30	22	1.5	3	9	9	5	3	5	5	4
39	1	54	30	40	18	2.5	3	10	9	8	1	5	5	4
39	1	54	25	30	18	1.5	3	12	12	5	2	5	5	4
39	1	54	35	30	22	2.5	3	10	9	7	2	5	5	4
39	1	54	25	40	22	2	2.5	9	9	7	2	5	5	4
39	1	54	35	30	18	1.5	3	10	9	7	3	5	5	4
40	0	18	35	30	12	1.5	2.5	10	7	8	3	4	1	4
40	0	18	30	30	18	2.5	3	10	9	7	1	4	1	4
40	0	18	35	30	18	2.5	3	10	9	5	2	4	1	4
40	0	18	35	30	18	1.5	2	10	9	7	2	4	1	4
40	0	18	35	20	18	1.5	2.5	12	9	5	1	4	1	4
40	0	18	35	20	22	1.5	3	9	9	5	2	4	1	4
40	0	18	30	30	18	2	2	10	9	7	2	4	1	4
40	0	18	25	30	18	2	2	10	9	5	2	4	1	4
40	0	18	25	20	12	1.5	3	10	9	8	2	4	1	4
40	0	18	35	20	18	2.5	2	12	9	5	1	4	1	4
41	0	29	35	30	18	2	2.5	12	12	5	2	4	4	3
41	0	29	25	40	12	1.5	3	12	9	7	1	4	4	3
41	0	29	30	30	18	2.5	2.5	9	9	8	3	4	4	3
41	0	29	35	30	12	2.5	3	10	9	7	1	4	4	3
41	0	29	30	30	18	1.5	2.5	9	12	7	3	4	4	3
41	0	29	30	40	18	2.5	2	10	12	7	3	4	4	3
41	0	29	35	30	18	2.5	2	12	7	7	3	4	4	3
41	0	29	25	20	12	2.5	2.5	10	9	8	2	4	4	3
41	0	29	35	40	18	2.5	2.5	10	9	5	2	4	4	3
41	0	29	35	20	22	2.5	2	12	12	8	2	4	4	3
42	1	52	35	40	18	2	2.5	10	7	7	3	3	4	3
42	1	52	35	30	18	2.5	3	12	9	8	2	3	4	3
42	1	52	25	40	12	2	2	10	9	5	2	3	4	3
42	1	52	25	30	18	2	3	10	12	8	2	3	4	3
42	1	52	25	40	18	1.5	3	10	12	8	3	3	4	3
42	1	52	35	30	12	2	2.5	10	9	7	1	3	4	3
42	1	52	25	40	18	1.5	2.5	10	9	7	3	3	4	3
42	1	52	30	20	18	2	3	12	9	7	2	3	4	3
42	1	52	30	40	22	2.5	2	9	9	5	2	3	4	3
42	1	52	30	30	12	2.5	2	12	12	7	2	3	4	3
43	0	23	25	20	18	2	2.5	10	7	5	2	4	5	2
43	0	23	35	30	18	2	2	12	9	5	2	4	5	2
43	0	23	35	40	18	2	2.5	10	12	5	3	4	5	2
43	0	23	35	30	12	1.5	2.5	9	7	8	2	4	5	2
43	0	23	25	20	18	2.5	2.5	9	9	7	3	4	5	2
43	0	23	25	20	18	2	3	9	12	5	2	4	5	2
43	0	23	30	30	12	2	2.5	12	12	7	3	4	5	2
43	0	23	30	30	18	2.5	2	10	9	7	1	4	5	2
43	0	23	25	40	18	2	2	9	7	7	3	4	5	2
43	0	23	30	30	22	2.5	2	9	9	5	3	4	5	2
44	1	34	30	30	22	2	3	9	12	5	3	5	3	4
